from_pretrained,input_seg_size,input_seq_len,num_mem_tokens,lr,lr_scheduler,sum_loss,f1,best_valid_f1,f1_std,n_runs,runs
microsoft/deberta-v3-base,512.0,998,10.0,5e-05,linear,False,0.9629629850387572,0.875,0.0,2,"[0.96, 0.96]"
microsoft/deberta-v3-base,512.0,1227,100.0,1e-05,linear,False,0.9620222449302673,0.8477599620819092,0.01688015885387077,6,"[0.98, 0.94, 0.96, 0.98, 0.94, 0.96]"
microsoft/deberta-v3-base,512.0,1452,25.0,1e-05,constant_with_warmup,True,0.9411764740943908,0.8242553174495697,0.0,2,"[0.94, 0.94]"
microsoft/deberta-v3-base,512.0,1497,10.0,1e-05,constant_with_warmup,False,0.9411764740943908,0.7599999904632568,0.0,2,"[0.94, 0.94]"
microsoft/deberta-v3-base,512.0,1497,10.0,1e-05,constant_with_warmup,True,0.9552491505940756,0.8514328797658285,0.029534163028228387,3,"[0.92, 0.96, 0.98]"
microsoft/deberta-v3-base,512.0,1497,10.0,1e-05,linear,False,0.9513574540615082,0.7847460061311722,0.010883925399589265,8,"[0.94, 0.94, 0.96, 0.96, 0.94, 0.94, 0.96, 0.96]"
microsoft/deberta-v3-base,512.0,1497,10.0,5e-05,constant_with_warmup,False,0.9433962106704712,0.782608687877655,0.0,2,"[0.94, 0.94]"
microsoft/deberta-v3-base,512.0,1497,10.0,5e-05,linear,False,0.9615384340286256,0.800000011920929,0.0,2,"[0.96, 0.96]"
microsoft/deberta-v3-base,512.0,1636,100.0,1e-05,linear,False,0.9620132843653361,0.8078431487083435,0.0007356349784083574,6,"[0.96, 0.96, 0.96, 0.96, 0.96, 0.96]"
microsoft/deberta-v3-base,512.0,1996,10.0,1e-05,constant_with_warmup,True,0.9411764740943908,0.8203258812427521,0.0,2,"[0.94, 0.94]"
microsoft/deberta-v3-base,512.0,1996,10.0,1e-05,linear,False,0.9479637940724691,0.826890766620636,0.010514870896191218,6,"[0.96, 0.94, 0.94, 0.96, 0.94, 0.94]"
roberta-base,256.0,486,10.0,1e-05,constant_with_warmup,False,0.916534960269928,0.8008963227272033,0.02102713109615638,10,"[0.93, 0.88, 0.91, 0.92, 0.94, 0.93, 0.88, 0.91, 0.92, 0.94]"
roberta-base,256.0,486,10.0,1e-05,linear,False,0.9101235965887705,0.7615654369195303,0.02260577530268702,12,"[0.88, 0.88, 0.9, 0.94, 0.92, 0.92, 0.88, 0.88, 0.9, 0.94, 0.92, 0.92]"
roberta-base,256.0,486,10.0,5e-05,constant_with_warmup,False,0.901960790157318,0.7916666865348816,0.0,2,"[0.9, 0.9]"
roberta-base,256.0,486,10.0,5e-05,linear,False,0.9137769043445587,0.7742213010787964,0.02437785308623549,8,"[0.88, 0.95, 0.9, 0.92, 0.88, 0.95, 0.9, 0.92]"
roberta-base,256.0,972,10.0,1e-05,constant_with_warmup,False,0.9201472848653793,0.8275111615657806,0.00902754408682728,8,"[0.91, 0.92, 0.93, 0.93, 0.91, 0.92, 0.93, 0.93]"
roberta-base,256.0,972,10.0,1e-05,linear,False,0.9230769276618958,0.8291439712047577,0.0,8,"[0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92]"
roberta-base,256.0,972,10.0,5e-05,constant_with_warmup,False,0.9346610605716705,0.8107143044471741,0.010086482521908607,4,"[0.94, 0.93, 0.94, 0.93]"
roberta-base,256.0,972,10.0,5e-05,linear,False,0.9335994124412537,0.81092768907547,0.03226120326872786,4,"[0.91, 0.96, 0.91, 0.96]"
roberta-base,256.0,1458,10.0,1e-05,constant_with_warmup,False,0.9454545378684998,0.901960790157318,0.0,2,"[0.95, 0.95]"
roberta-base,256.0,1458,10.0,1e-05,linear,False,0.9454545378684998,0.901960790157318,0.0,2,"[0.95, 0.95]"
roberta-base,256.0,1458,10.0,5e-05,constant_with_warmup,False,0.9629629850387572,0.8399999737739563,0.0,2,"[0.96, 0.96]"
roberta-base,256.0,1458,10.0,5e-05,linear,False,0.8163265585899353,0.7777777910232544,0.0,2,"[0.82, 0.82]"
roberta-base,512.0,512,0.0,1e-05,linear,False,0.9513574540615082,0.8313043415546417,0.01175598304925886,4,"[0.96, 0.94, 0.96, 0.94]"
roberta-base,512.0,818,100.0,1e-05,linear,False,0.9649639278650283,0.881945364177227,0.014831285333360731,16,"[0.96, 0.98, 0.98, 0.98, 0.96, 0.96, 0.95, 0.94, 0.96, 0.98, 0.98, 0.98, 0.96, 0.96, 0.95, 0.94]"
roberta-base,512.0,968,25.0,1e-05,constant_with_warmup,True,0.9411764740943908,0.870325893163681,0.0,2,"[0.94, 0.94]"
roberta-base,512.0,998,10.0,1e-05,constant_with_warmup,False,0.9811320900917052,0.8510638475418091,0.0,2,"[0.98, 0.98]"
roberta-base,512.0,998,10.0,1e-05,constant_with_warmup,True,0.942286342382431,0.8885714411735535,0.0015695907853942438,2,"[0.94, 0.94]"
roberta-base,512.0,998,10.0,1e-05,linear,False,0.9622574299573898,0.853843167424202,0.014272982982780229,8,"[0.96, 0.94, 0.98, 0.96, 0.96, 0.94, 0.98, 0.96]"
roberta-base,512.0,998,10.0,5e-05,constant_with_warmup,False,0.9615384340286256,0.8979591727256775,0.0,2,"[0.96, 0.96]"
