task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_f1
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,486,,25.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_486-1024_mem25_bs32_iters1600_sl_bidi/run_1,True,False,1600,15.945799827575684
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,0.0,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_mem0_bs32_iters1600_sum_loss/run_3,True,,1600,20.09819984436035
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,0.0,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_mem0_bs32_iters1600_sum_loss/run_2,True,,1600,19.285600662231445
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,0.0,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_mem0_bs32_iters1600_sum_loss/run_1,True,,0,4.940499782562256
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,0.0,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_mem0_bs32_iters1600_sum_loss/run_1,True,,1600,19.10449981689453
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_3,True,False,1600,13.151399612426758
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_2,True,False,1600,14.041899681091309
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_1,True,False,1600,14.329299926757812
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,1,1,linear,1024,,0.0,regular,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1024-1024_mem0_bs32_iters1600_sl/run_1,True,False,0,0.3684000074863434
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,1,1,linear,1024,,0.0,regular,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1024-1024_mem0_bs32_iters1600_sl/run_1,True,False,640,10.331999778747559
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,8,2,linear,486,,0.0,regular,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_486-1024_mem0_bs32_iters1600_sl/run_2,True,False,1600,19.220699310302734
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,8,2,linear,486,,0.0,regular,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_486-1024_mem0_bs32_iters1600_sl/run_1,True,False,1600,19.148500442504883
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,768,256.0,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_768-1024_mem10_bs32_iters1600_sl_rep_first_seg256/run_2,True,False,1600,14.896900177001953
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,768,256.0,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_768-1024_mem10_bs32_iters1600_sl_rep_first_seg256/run_1,True,False,1600,15.332300186157227
qasper,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_-1024_bl_bs_iters_sl/run_2,,,1600,19.452699661254883
qasper,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_-1024_bl_bs_iters_sl/run_2,,,1600,24.013399124145508
qasper,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_baseline_bs32_iters1600/run_3,,,1600,19.528799057006836
qasper,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_baseline_bs32_iters1600/run_2,,,1600,18.905899047851562
qasper,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_baseline_bs32_iters1600/run_1,,,1600,19.959999084472656
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600/run_3,False,False,1600,11.489800453186035
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600/run_2,False,False,1600,10.680100440979004
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600/run_1,False,False,1600,10.619799613952637
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1458,,25.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1458-1024_mem25_bs32_iters1600_sl_rep_first/run_2,True,False,1600,14.973199844360352
